Promotion,Source,Target,Conversion Rate
Free Month,Sent Email,Opened Email,0.39
10% off,Sent Email,Opened Email,0.31
Free Month,Sent Email,No Action,0.61
10% off,Sent Email,No Action,0.69
Free Month,Opened Email,Clicked Email Link,0.50
10% off,Opened Email,Clicked Email Link,0.46
Free Month,Opened Email,No Action,0.50
10% off,Opened Email,No Action,0.54
Free Month,Clicked Email Link,Created Account,0.59
10% off,Clicked Email Link,Created Account,0.80
Free Month,Clicked Email Link,No Action,0.41
10% off,Clicked Email Link,No Action,0.20
Free Month,Created Account,Paid for Membership,0.73
10% off,Created Account,Paid for Membership,0.92
Free Month,Created Account,No Action,0.27
10% off,Created Account,No Action,0.08
